i x y side frame field experiment
0 1042 7 dx 0 0 .
1 1042 27 dx 0 0 .
2 1032 44 dx 0 0 .
3 1020 59 dx 0 0 .
4 1030 78 dx 0 0 .
5 1024 100 dx 0 0 .
6 1029 120 dx 0 0 .
7 1038 135 dx 0 0 .
8 1032 152 dx 0 0 .
9 1020 164 dx 0 0 .
10 1012 181 dx 0 0 .
11 1006 202 dx 0 0 .
12 1012 220 dx 0 0 .
13 1022 238 dx 0 0 .
14 1020 261 dx 0 0 .
15 1016 281 dx 0 0 .
16 999 286 dx 0 0 .
17 992 270 dx 0 0 .
18 986 287 dx 0 0 .
19 989 308 dx 0 0 .
20 981 325 dx 0 0 .
21 983 347 dx 0 0 .
22 983 368 dx 0 0 .
23 987 388 dx 0 0 .
24 994 407 dx 0 0 .
25 979 418 dx 0 0 .
26 959 418 dx 0 0 .
27 938 417 dx 0 0 .
28 920 421 dx 0 0 .
29 913 441 dx 0 0 .
30 926 457 dx 0 0 .
31 940 465 dx 0 0 .
32 942 486 dx 0 0 .
33 947 496 dx 0 0 .
34 959 486 dx 0 0 .
35 976 491 dx 0 0 .
36 984 510 dx 0 0 .
37 975 523 dx 0 0 .
38 993 530 dx 0 0 .
39 997 548 dx 0 0 .
40 1004 567 dx 0 0 .
41 1010 583 dx 0 0 .
42 1019 601 dx 0 0 .
43 1025 620 dx 0 0 .
44 1033 634 dx 0 0 .
45 1040 650 dx 0 0 .
46 1027 660 dx 0 0 .
47 1013 670 dx 0 0 .
48 1008 689 dx 0 0 .
49 987 688 dx 0 0 .
50 979 703 dx 0 0 .
51 997 707 dx 0 0 .
52 1017 709 dx 0 0 .
53 1009 724 dx 0 0 .
54 1010 739 dx 0 0 .
55 1002 757 dx 0 0 .
56 980 753 dx 0 0 .
57 962 754 dx 0 0 .
58 950 771 dx 0 0 .
59 957 791 dx 0 0 .
60 968 808 dx 0 0 .
61 955 821 dx 0 0 .
62 949 841 dx 0 0 .
63 965 850 dx 0 0 .
64 980 859 dx 0 0 .
65 988 875 dx 0 0 .
66 1005 883 dx 0 0 .
67 1003 901 dx 0 0 .
68 985 894 dx 0 0 .
69 972 884 dx 0 0 .
70 952 883 dx 0 0 .
71 933 887 dx 0 0 .
72 922 901 dx 0 0 .
73 925 922 dx 0 0 .
74 935 935 dx 0 0 .
75 952 945 dx 0 0 .
76 973 946 dx 0 0 .
77 988 957 dx 0 0 .
78 989 977 dx 0 0 .
79 1005 986 dx 0 0 .
80 1024 988 dx 0 0 .
81 1029 1009 dx 0 0 .
82 1016 1024 dx 0 0 .
83 999 1033 dx 0 0 .
84 1005 1053 dx 0 0 .
85 1011 1070 dx 0 0 .
86 1003 1085 dx 0 0 .
87 986 1090 dx 0 0 .
88 966 1094 dx 0 0 .
89 949 1102 dx 0 0 .
90 963 1113 dx 0 0 .
91 962 1135 dx 0 0 .
92 941 1137 dx 0 0 .
93 936 1119 dx 0 0 .
94 919 1127 dx 0 0 .
95 901 1133 dx 0 0 .
96 884 1139 dx 0 0 .
97 874 1155 dx 0 0 .
98 884 1173 dx 0 0 .
99 887 1194 dx 0 0 .
0 609 19 sx 0 0 .
1 600 30 sx 0 0 .
2 582 31 sx 0 0 .
3 584 48 sx 0 0 .
4 598 52 sx 0 0 .
5 598 67 sx 0 0 .
6 592 81 sx 0 0 .
7 602 94 sx 0 0 .
8 616 101 sx 0 0 .
9 629 111 sx 0 0 .
10 631 126 sx 0 0 .
11 633 141 sx 0 0 .
12 638 156 sx 0 0 .
13 628 167 sx 0 0 .
14 618 178 sx 0 0 .
15 603 174 sx 0 0 .
16 599 159 sx 0 0 .
17 582 162 sx 0 0 .
18 579 180 sx 0 0 .
19 588 190 sx 0 0 .
20 588 208 sx 0 0 .
21 602 212 sx 0 0 .
22 609 223 sx 0 0 .
23 609 239 sx 0 0 .
24 601 253 sx 0 0 .
25 607 266 sx 0 0 .
26 615 282 sx 0 0 .
27 609 295 sx 0 0 .
28 604 308 sx 0 0 .
29 601 323 sx 0 0 .
30 592 337 sx 0 0 .
31 581 348 sx 0 0 .
32 587 364 sx 0 0 .
33 581 380 sx 0 0 .
34 578 395 sx 0 0 .
35 574 410 sx 0 0 .
36 575 428 sx 0 0 .
37 574 444 sx 0 0 .
38 571 461 sx 0 0 .
39 581 470 sx 0 0 .
40 591 482 sx 0 0 .
41 590 499 sx 0 0 .
42 602 507 sx 0 0 .
43 596 526 sx 0 0 .
44 595 543 sx 0 0 .
45 591 557 sx 0 0 .
46 580 565 sx 0 0 .
47 570 575 sx 0 0 .
48 560 585 sx 0 0 .
49 562 604 sx 0 0 .
50 576 610 sx 0 0 .
51 575 625 sx 0 0 .
52 572 641 sx 0 0 .
53 571 657 sx 0 0 .
54 567 672 sx 0 0 .
55 560 686 sx 0 0 .
56 552 701 sx 0 0 .
57 562 714 sx 0 0 .
58 579 708 sx 0 0 .
59 586 714 sx 0 0 .
60 583 730 sx 0 0 .
61 574 743 sx 0 0 .
62 579 762 sx 0 0 .
63 574 776 sx 0 0 .
64 570 794 sx 0 0 .
65 582 805 sx 0 0 .
66 600 802 sx 0 0 .
67 609 815 sx 0 0 .
68 623 817 sx 0 0 .
69 634 827 sx 0 0 .
70 647 833 sx 0 0 .
71 650 849 sx 0 0 .
72 639 860 sx 0 0 .
73 621 857 sx 0 0 .
74 609 868 sx 0 0 .
75 602 881 sx 0 0 .
76 588 888 sx 0 0 .
77 572 882 sx 0 0 .
78 556 880 sx 0 0 .
79 549 893 sx 0 0 .
80 554 913 sx 0 0 .
81 549 928 sx 0 0 .
82 548 943 sx 0 0 .
83 546 959 sx 0 0 .
84 543 974 sx 0 0 .
85 541 992 sx 0 0 .
86 545 1008 sx 0 0 .
87 538 1023 sx 0 0 .
88 534 1036 sx 0 0 .
89 529 1051 sx 0 0 .
90 537 1072 sx 0 0 .
91 530 1086 sx 0 0 .
92 528 1102 sx 0 0 .
93 522 1115 sx 0 0 .
94 526 1131 sx 0 0 .
95 537 1140 sx 0 0 .
96 548 1146 sx 0 0 .
97 544 1163 sx 0 0 .
